ID	altura	diametro	inclinación	especie	origen	brotes
151	12	15	0	Álamo	Exótico	3
293	15	26	0	Palo borracho	Nativo/Autóctono	5
332	17	25	0	Jacarandá	Nativo/Autóctono	5
386	25	35	0	Eucalipto	Exótico	3
495	22	34	0	Eucalipto	Exótico	2
561	22	34	0	Eucalipto	Exótico	3
586	22	34	0	Eucalipto	Exótico	3
614	22	34	0	Eucalipto	Exótico	4
624	22	34	0	Eucalipto	Exótico	5
732	22	34	0	Eucalipto	Exótico	4
745	22	34	0	Eucalipto	Exótico	2
884	22	34	0	Eucalipto	Exótico	2
1269	21	32	0	Eucalipto	Exótico	3
1368	19	100	0	Eucalipto	Exótico	3
1464	7	12	0	Álamo	Exótico	4
1475	7	12	0	Álamo	Exótico	3
1577	9	11	0	Álamo	Exótico	3
1612	12	33	0	Álamo	Exótico	2
1728	23	90	0	Eucalipto	Exótico	3
1753	30	61	0	Eucalipto	Exótico	3
2025	32	48	5	Eucalipto	Exótico	4
2103	33	90	0	Eucalipto	Exótico	1
2145	26	63	0	Eucalipto	Exótico	3
2290	22	35	0	Casuarina	Exótico	4
2348	16	132	0	Ficus	Nativo/Autóctono	6
2515	22	63	0	Casuarina	Exótico	2
2763	6	22	28	Jacarandá	Nativo/Autóctono	6
2833	17	63	0	Fresno	Exótico	3
2874	17	65	10	Fresno	Exótico	2
2984	6	13	0	Acacia	Nativo/Autóctono	5
3048	15	20	0	Acacia	Exótico	4
3049	16	25	0	Álamo	Exótico	3
3147	15	62	0	Casuarina	Exótico	3
3187	5	34	5	Eucalipto	Exótico	3
3321	2	10	0	Ceibo	Nativo/Autóctono	5
3673	14	44	6	Palo borracho	Nativo/Autóctono	4
3984	16	36	11	Jacarandá	Nativo/Autóctono	4
4012	23	105	15	Jacarandá	Nativo/Autóctono	6
4292	8	25	22	Acacia	Exótico	2
4402	6	9	25	Jacarandá	Nativo/Autóctono	6
4595	17	51	12	Ceibo	Nativo/Autóctono	6
4825	10	36	0	Palo borracho	Nativo/Autóctono	4
5112	14	41	10	Álamo	Exótico	4
